server_id,user_id
tts-821909,NYS:WFC
tts-821879,NYS:WAT
tts-821874,NYS:VZ
tts-821867,NYS:VTR
tts-821842,NYS:VMC
tts-821840,NYS:VLO
tts-821785,NYS:URI
tts-821755,NYS:UHS
tts-821727,NYS:TYL
tts-821674,NYS:TSN
tts-821580,NYS:TGT
tts-821527,NYS:T
tts-821521,NYS:SYK
tts-821499,NYS:STT
tts-821491,NYS:STE
tts-821436,NYS:SO
tts-821428,NYS:SNA
tts-821396,NYS:SJM
tts-821387,NYS:SHW
tts-821288,NYS:RSG
tts-821263,NYS:ROL
tts-821260,NYS:ROK
tts-821247,NYS:RMD
tts-821244,NYS:RJF
tts-821214,NYS:RF
tts-821124,NYS:PSA
tts-821103,NYS:PPL
tts-821074,NAS:VRTX
tts-821066,NYS:PNC
tts-820986,NYS:PFE
tts-820977,NYS:PEG
tts-820952,NYS:PCG
tts-820904,NYS:OKE
tts-820835,NYS:NUE
tts-820762,NYS:NKE
tts-820732,NYS:NEM
tts-820608,NYS:MMC
tts-820603,NYS:MLM
tts-820516,NYS:MCO
tts-820508,NYS:MCD
tts-820498,NYS:MAS
tts-820480,NYS:LUV
tts-820454,NYS:LMT
tts-820450,NYS:LLY
tts-820447,NYS:LII
tts-820351,NYS:KR
tts-820338,NYS:KMX
tts-820327,NYS:KMB
tts-820318,NYS:KEY
tts-820303,NYS:K
tts-820268,NYS:JCI
tts-820265,NYS:JBL
tts-820252,NYS:IT
tts-820237,NYS:IP
tts-820130,NYS:HRL
tts-820116,NYS:HPQ
tts-820016,NYS:GWW
tts-819921,NAS:SBAC
tts-819910,NYS:GIS
tts-819733,NYS:FMC
tts-819694,NYS:FDX
tts-819654,NYS:F
tts-819638,NYS:EW
tts-819631,NYS:ETR
tts-819627,NYS:ETN
tts-819621,NYS:ESS
tts-819604,NYS:EQR
tts-819587,NYS:EOG
tts-819510,NYS:EFX
tts-819459,NYS:ECL
tts-819384,NYS:DUK
tts-819263,NYS:DHR
tts-819002,NYS:CVX
tts-819001,NYS:CVS
tts-818925,NYS:CPT
tts-818921,NAS:POOL
tts-818903,NAS:CPB
tts-818890,NYS:COF
tts-818881,NYS:CNP
tts-818716,NYS:CEG
tts-818709,NYS:CE
tts-818684,NYS:CCI
tts-818629,NYS:C
tts-818612,NYS:BXP
tts-818608,NYS:BWA
tts-818560,NYS:BRO
tts-818544,NYS:BR
tts-818515,NYS:BMY
tts-818492,NYS:BK
tts-818433,NAS:PAYX
tts-818400,NYS:BA
tts-818395,NYS:AZO
tts-818315,NAS:ORLY
tts-818299,NYS:ARE
tts-818286,NYS:APD
tts-818281,NYS:APA
tts-818258,NYS:AMT
tts-818221,NAS:ODFL
tts-818215,NYS:AJG
tts-818201,NYS:AIG
tts-818171,NYS:AFL
tts-818154,NYS:AEE
tts-818138,NYS:ACN
tts-80402151,NAS:QRVO
tts-80383707,NAS:AMD
tts-80360010,NAS:WBA
tts-78355419,NYS:KEYS
tts-76828925,NYS:CFG
tts-74938584,NYS:CTLT
tts-74936266,NYS:SYF
tts-73295693,NYS:ANET
tts-72407107,NYS:DECK
tts-71838504,NYS:PAYC
tts-71625495,NAS:GOOGL
tts-67693128,NYS:HLT
tts-67645939,NAS:AAL
tts-67417572,NAS:PTC
tts-67360106,NYS:ALLE
tts-6642815,NYS:TRV
tts-65832501,NAS:MAR
tts-65187270,NYS:LDOS
tts-63081317,NYS:FI
tts-61741993,NYS:DOC
tts-61604636,NYS:ORCL
tts-61149825,NAS:FOX
tts-61149824,NAS:FOXA
tts-61020822,NAS:CDW
tts-55574302,NYS:ZTS
tts-54471318,NYS:ABBV
tts-5211016,NAS:FSLR
tts-51776389,NAS:FANG
tts-51210920,NAS:MDLZ
tts-45576417,NAS:WDC
tts-45185392,NAS:LKQ
tts-4340548,NYS:MA
tts-4256505,NYS:HES
tts-42406141,NYS:PSX
tts-41568568,NAS:ADI
tts-40948542,NAS:ENPH
tts-4011480,NYS:TDG
tts-38722992,NAS:CZR
tts-38627679,NYS:EPAM
tts-3855383,NYS:FIS
tts-3817871,NYS:CMG
tts-37214168,NAS:MNST
tts-37090221,NAS:TXN
tts-3685519,NAS:AVGO
tts-3682398,NYS:LYV
tts-36769516,NAS:EA
tts-3536577,NYS:ICE
tts-3468716,NAS:CDNS
tts-33903249,NYS:XYL
tts-3385019,NYS:AMP
tts-324308742,NYS:AMTM
tts-316163098,NYS:SW
tts-307473587,NYS:GEV
tts-307396029,NYS:SOLV
tts-306925844,NYS:CPAY
tts-30448931,NYS:MPC
tts-301905847,NYS:DAY
tts-298814037,NYS:COR
tts-294951046,NAS:LIN
tts-291258264,NYS:VLTO
tts-291149475,NAS:COO
tts-28562574,NYS:HII
tts-28526107,NYS:APO
tts-284468580,NYS:EG
tts-284392746,NAS:ROP
tts-282720976,NAS:GEN
tts-28208589,NYS:HCA
tts-279859920,NYS:RVTY
tts-278925995,NYS:KVUE
tts-27680104,NYS:KMI
tts-2711488,NAS:DXCM
tts-268663742,NAS:GEHC
tts-26846582,NYS:MSI
tts-268463162,NAS:EVRG
tts-26549366,NYS:TRGP
tts-26033121,NYS:GM
tts-25471963,NYS:LYB
tts-252682894,NYS:ELV
tts-247896717,NYS:BALL
tts-245373754,NAS:WBD
tts-24429604,NAS:NXPI
tts-24178047,NYS:KKR
tts-240346757,NAS:PARA
tts-24025054,NYS:MSCI
tts-23947362,NAS:TSLA
tts-23932163,NYS:NEE
tts-239110702,NAS:CEG
tts-237275457,NYS:GRMN
tts-236022292,NYS:BLDR
tts-234941877,NAS:BKR
tts-231697626,NAS:PANW
tts-2288768,NYS:TAP
tts-225316618,NYS:BBWI
tts-222568848,NAS:META
tts-22004199,NYS:SCHW
tts-219587327,NAS:HON
tts-2184004,NYS:LVS
tts-2174372,NYS:MS
tts-21608803,NYS:GNRC
tts-2098957,NAS:MPWR
tts-2079936,NAS:MKTX
tts-207966789,NAS:ABNB
tts-20796040,NYS:AON
tts-2074152,NYS:DLR
tts-206812113,NAS:VTRS
tts-2063060,NYS:MOS
tts-206130495,NAS:HST
tts-20508704,NAS:FTNT
tts-2042965,NYS:DVN
tts-203738082,NAS:KDP
tts-203738081,NAS:AEP
tts-20366359,NYS:JNPR
tts-202005198,NAS:PLTR
tts-20189978,NAS:VRSK
tts-19583252,NYS:FICO
tts-195239752,NAS:APA
tts-1947579,NAS:GOOG
tts-1945576,NYS:EXR
tts-189514260,NYS:OTIS
tts-189514258,NYS:CARR
tts-189494244,NYS:RTX
tts-189319823,NYS:HWM
tts-1860018,NAS:DPZ
tts-185581020,NYS:TT
tts-181976270,NAS:SMCI
tts-179987468,NYS:J
tts-179890919,NYS:TFC
tts-17914799,NAS:MU
tts-17914161,NAS:HAS
tts-175405676,NAS:EXC
tts-171851873,NYS:GL
tts-169233535,NYS:LHX
tts-16784816,NAS:NWSA
tts-16784815,NAS:NWS
tts-167822172,NYS:AMCR
tts-167251369,NYS:DD~1
tts-167149635,NYS:CTVA
tts-167018563,NAS:CRWD
tts-164468639,NYS:UBER
tts-16363365,NYS:NOW
tts-162054712,NYS:DOW~1
tts-15935732,NYS:BIO
tts-159320127,NAS:WTW
tts-15888595,NAS:ADP
tts-158183018,NAS:TER
tts-157369986,NAS:REG
tts-157369984,NAS:LNT
tts-157040141,NYS:DELL
tts-15401130,NAS:STX
tts-153457237,NYS:CTRA
tts-149797942,NYS:CBOE
tts-149357573,NAS:UAL
tts-14796283,NAS:CME
tts-14359676,NAS:MRNA
tts-1407072,NAS:NDAQ
tts-13958797,NYS:AWK
tts-13882049,NYS:WRB
tts-137464333,NYS:CBRE
tts-136334331,NYS:WELL
tts-136266150,NAS:BKNG
tts-134577655,NYS:VICI
tts-13350159,NYS:PM
tts-132814882,NAS:XEL
tts-132468358,NAS:PEP
tts-132399257,NYS:NCLH
tts-132294694,NAS:PFG
tts-131772441,NYS:APTV
tts-1312545,NYS:NRG
tts-130773564,NYS:IQV
tts-129970223,NYS:TPR
tts-127962865,NAS:WDAY
tts-127281511,NAS:AXON
tts-12362150,NYS:NVR
